"Category","Demo_URL","Description","Editor_URL","Installation Steps","Logo","Market_URL","Name","New image","Price montly","Price one_time","SEO_description","SEO_title","Short_description"
"Technical , Data (things) , Mobile , Containers , Media , Visual Elements , Image","https://advanced-image-slider-38537.bubbleapps.io/version-test/advanced_slider","Enhance your web or mobile app by adding a beautiful slider with text and URLs.Advanced Image Slider is a multioptional plugin that lets you easily create powerful sliders with attractive transition effects and customize each separate element to your liking.

Attention!
Starting from version 3.0.0 the plugin only supports the new responsive engine.

Attention!
Version 3 is not compatible with versions 2 and 1

Features:

Simple Captions with Url's.
Add text or links to your slides with minimal effort

Thumbnails.
Use thumbnails for slider pagination, instead of bullets.

Carousel.
Turn your slider into a carousel, showing multiple slides at once.

Lazy Loading for extremely fast page loading times.
Images loads only when they are viewed

Fully Responsive & ready for all devices.
The slider will look great on every device including desktops, notebooks, tablets, and smartphones.

Many Dot and Arrow Styles.
Choose between different slide navigation dot and arrow styles.

Demo:
For details and demos please visit the plugin page at
https://advanced-image-slider-38537.bubbleapps.io/version-test/advanced_slider


Additional demo:
https://advanced-image-slider-38537.bubbleapps.io/version-test/advanced_slider_addition","https://bubble.io/page?id=advanced-image-slider-38537&tab=Design&name=advanced_slider&type=page","Add the plugin to your app , Set the image gallery and configure the properties as you see fit. Hints are included","//s3.amazonaws.com/appforest_uf/f1552382913062x476884234918697660/slider-01.svg","https://bubble.io/plugin/advanced-image-slider-1542619534130x475716869344460800","Advanced image Slider","//ffe46b16a377e4f6249ab41469afe35b.cdn.bubble.io/f1752754444441x625191096989945500/slider-01.svg","7","30","Enhance your app with the Advanced Image Slider plugin. Create stunning sliders with text, URLs, thumbnails, and carousel modes. Enjoy fast loading times with lazy loading, and customize dot and arrow styles. Compatible with the new responsive engine.","Advanced Image Slider: Responsive Sliders with Custom Captions","Responsive slider with text, URLs, thumbnails, and carousel"
"Technical , Visual Elements , Media , Containers , Data (things)","https://plugin-preview.bubbleapps.io/version-test/hover_3d","Now you can create astonishing new galleries and features for your app. Interactive parallax tilt effects that react to mouse movement.
Hover3D is a plugin which applies an awesome interactive 3D hover effect to any image.

Features:
-Font, stroke, and shadows are customizable.
-Can be used in a repeating group
-The picture can be both static and dynamic.","https://bubble.io/page?type=page&name=hover_3d&id=plugin-preview&tab=tabs-1","Place the ""Hover3d"" element on the page , Connect an image using ""Static Image"" or ""Use Dynamic Image -> Image Source"" , The plugin is ready to use. , If necessary, connect additional data using the fields ""Image Link"", ""Title Settings -> Text"", ""Title Settings -> Text"" and make other additional settings.","//s3.amazonaws.com/appforest_uf/f1552382968050x660090039138026500/013-key-1-03.svg","https://bubble.io/plugin/hover-3d-1543489861619x429226183569702900","Hover 3d","//ffe46b16a377e4f6249ab41469afe35b.cdn.bubble.io/f1752754485346x612818981444943600/013-key-1-03.svg","3","15","Transform your galleries and features with the Hover 3D plugin. Create stunning interactive 3D hover effects that react to mouse movement. Customize fonts, strokes, and shadows, and use static or dynamic images.","Hover 3D Plugin: Interactive 3D Hover Effects for Images","Create interactive 3D hover effects for images with ease."
"Technical , Data (things) , Social Network , Productivity , Visual Elements","https://plugin-preview.bubbleapps.io/version-test/password","Password Strength and Complexity
This plugin is designed to evaluate password strength and will help you provide many features to strengthen your password.

You can control the features like number of letters, upper and lower case letters and adding numbers.

Features:
- It shows a secure strength indicator to your users.
- Your users can hide or see the password.
- There is a password security indicator.
- Multiple effects and style options.
- Responsive design ready.
","https://bubble.io/page?type=page&name=password&id=plugin-preview&tab=tabs-1","Place an “input” on the page that will serve as a password entry field and assign it an “ID Attribute” , Place the ""PasswordValidator"" element on the page and in the ""Input Id"" field enter the identifier that you assigned to ""input"" in the first paragraph. , The plugin is ready to use. If necessary, you can make additional settings for the plugin in the editor.","//s3.amazonaws.com/appforest_uf/f1552382991734x529614616748383900/013-key-1-05.svg","https://bubble.io/plugin/password-validator-1547294014882x578996484766695400","Password Validator","//s3.amazonaws.com/appforest_uf/f1662474781692x296351810393871160/013-key-1-05____________.svg","4","19","Enhance password security with the Password Validator plugin. Evaluate password strength with customizable features like letter requirements, number inclusion, and case sensitivity. Includes secure strength indicators, visibility options, and responsive design.","Password Validator Plugin: Strength & Complexity Checker","Evaluate and enhance password strength with customizable options."
"Productivity , Analytics , Compliance , Technical , Data (things) , Visual Elements","https://plugin-preview.bubbleapps.io/version-test/grid","Advanced Grid gives you the ability to display Data Tables as in Excel.

Create interactive data tables using sorting, searching, pagination, filtering and more. This plugin is really easy for beginners.
There are several ways of functional and visual customization of the tables.

Features:

- Columns can be switched places with drag and drop + the width of the columns can be controlled.
- Different ways of searching.
- You can save tables in Excel, PDF, and CSV.
- You can also send it to print.
- Add, edit, and remove lines.
- Pagination + you can control the amount of pages that should be shown.
- 20 different color schemes.","https://bubble.io/page?type=page&name=grid&id=plugin-preview&tab=tabs-1","Add the plugin to your app and configure the properties as you see fit. Hints are included","//s3.amazonaws.com/appforest_uf/f1552388749114x334770748977558400/grid-03.svg","https://bubble.io/plugin/advanced-grid-1551871414639x682026432359039000","Advanced Grid","//s3.amazonaws.com/appforest_uf/f1662474767587x881894939782596100/grid-03Advanced%20grid.svg","7","20","Create interactive data tables with the Advanced Grid plugin. Features include sorting, searching, pagination, and filtering. Customize visually and functionally, and export tables to Excel, PDF, or CSV. Supports drag-and-drop columns and multiple color schemes.","Advanced Grid Plugin: Interactive Data Tables with Customization","Interactive data tables with sorting, filtering, and exporting."
"Technical , Blog , Containers , Mobile , Media , Visual Elements","https://plugin-preview.bubbleapps.io/version-test/text","Now you can create astonishing new animated typing effect for titles or sentences on your posts, images and even in repeating groups.

You can change the color, boldness, font and all the other settings with Bubble's Rich text editor to produce the result you really expect. Adding images and links is also easy.

Features:
- Font settings, color, boldness - customizable.
- Repeating group ready.
- The picture can be both static and dynamic.
- Multiple animated effects on the same page.
- Responsive design ready.
","https://bubble.io/page?type=page&name=text&id=plugin-preview&tab=tabs-1","Place the ""Typingeffect"" element on the page , In the ""string"" fields (at least in the ""string 1"" field) enter the text that should be animated. , This is the simplest connection diagram and the plugin is ready to work. , Next, using the plugin editor, you can make more detailed settings.","//s3.amazonaws.com/appforest_uf/f1552383091519x412726230734776960/013-key-1-09.svg","https://bubble.io/plugin/typing-effect-1544742643514x702459731154829300","Typing effect","//s3.amazonaws.com/appforest_uf/f1662474751758x379946488744874500/013-key-1-09Typing%20effect.svg","4","15","Add dynamic animated typing effects to your titles and sentences with our plugin. Fully customizable with font settings, colors, and boldness. Works with images, links, and repeating groups, and supports multiple effects on the same page.","Typing Effect Plugin: Animated Text for Posts, Images, & Repeating Groups","Animated typing effect for dynamic text in posts and images."
"Technical , Containers , Media , Data (things) , Mobile , Visual Elements","https://plugin-preview.bubbleapps.io/version-test/pinterest","Do you want to create a masonry style gallery? Sometimes you need to display full-view thumbnails without cropping the height or width.
Now, you can change the view of your repeating group with images to masonry style gallery. Plugin works by placing elements in optimal position based on available vertical space.

To see the settings of the repeating group and the plugin in more detail, go to the demo page:
https://plugin-preview.bubbleapps.io/version-test/pinterest
and open the editor ( OPEN EDITOR )","https://bubble.io/page?type=page&name=pinterest&id=plugin-preview&test_plugin=1564735347736x451216312144494600_current&tab=tabs-1","Place a repeating group on the page, customize it and give it an ID. , Place the ""RG to Pinterest Grid"" element on the page. ,  In the ""Repeating Group ID"" field of the plugin, enter the ID of your repeating group.","//s3.amazonaws.com/appforest_uf/f1568808229814x475819252522841100/010-ui-6-03.svg","https://bubble.io/plugin/rg-to-pinterest-grid-1564735347736x451216312144494600","Pinterest Grid","//s3.amazonaws.com/appforest_uf/f1662474736944x581391080933098000/010-ui-6-03Pinterest%20grid.svg","5","15","Transform your image gallery into a masonry style layout with the Pinterest Grid plugin. Perfect for displaying full-view thumbnails without cropping, it optimally arranges elements based on available vertical space.","Pinterest Grid: Masonry Style Gallery Plugin for Optimal Image Display","Masonry style gallery for full-view thumbnails without cropping."
"Technical , Data (things) , Mobile , Containers , Media , Visual Elements , Image","https://advanced-image-slider-38537.bubbleapps.io/version-test/simple_slider","This Simple Image Slider is a nice and convenient way to display many images on your site.  The big and small images will look nice on every device, which is essential for every website.

Features:

• Carousel.
Turn your slider into a carousel, showing multiple slides at once.

Lazy Loading for extremely fast page loading times.
Images loads only when they are viewed

Fully Responsive & ready for all devices.
The slider will look great on every device including desktops, notebooks, tablets, and smartphones.

Many Dot and Arrow Styles.
Choose between different slide navigation dot and arrow styles.
","https://bubble.io/page?id=advanced-image-slider-38537&tab=Design&name=simple_slider&type=page","Add a plugin to your application. , Place a SimpleSlider element on the page. , Set up an image gallery (field “Image Gallery”) , Set the required slide proportions (W and H fields). This is very similar to the ""Aspect ratio"" field for the standard ""Image"" element. , If necessary, configure the desired properties as you wish. Hints included","//s3.amazonaws.com/appforest_uf/f1568808320374x451115958445723400/qqq.svg","https://bubble.io/plugin/simple-image-slider-1564440454726x155476765802496000","Simple Image Slider","//ffe46b16a377e4f6249ab41469afe35b.cdn.bubble.io/f1752754619581x762531815289962500/qqq.svg","4","19","Enhance your site with our Simple Image Slider. Featuring carousel mode, lazy loading for fast performance, and a variety of dot and arrow styles. Fully responsive on all devices.","Simple Image Slider: Responsive Carousel with Lazy Loading","Responsive image slider with carousel and lazy loading."
"Technical , Containers , Media , Compliance , Visual Elements","https://plugin-preview.bubbleapps.io/version-test/parallax","Parallax plugin allows you to create an interactive multi-layered parallax effect responding that responds to mouse movement.

It can also be used on your mobile phone. It reacts to the orientation of your smart device, offsetting layers depending on their depth within a scene...

Features:
You can configure different speed levels of objects
You can add animation for objects, for example - rotate them around their axis or a given point.","https://bubble.io/page?type=page&name=parallax&id=plugin-preview&tab=tabs-1","Set the attribute to to the object you want to use , Add PARALLAX element to the page and set object id in elementID field , Customize the object as you wish","//s3.amazonaws.com/appforest_uf/f1568808399122x554836356943520640/www.svg","https://bubble.io/plugin/parallax-1564466329399x128981534971002880","Parallax","//s3.amazonaws.com/appforest_uf/f1662474711132x866375436483490900/GroupParallax.svg","5","19","Create stunning interactive parallax effects with our plugin. Customize object speeds, add animations, and enjoy responsive designs on both web and mobile devices.","Parallax Plugin: Interactive Multi-Layered Effects for Web & Mobile","Interactive parallax effects with customizable animations."
"Technical , Containers , Mobile , Media , Visual Elements","https://advanced-image-slider-38537.bubbleapps.io/version-test/before-after","Before-After Plugin is an easy to use and quite visually appealing tool that allows you to compare two different images in one slider is several ways.

Features:

-Working in all of main browsers
-It’s possible to set any colors for cursor and line and to change the size of cursor and line
-Fully responsive for all mobile devices.","https://bubble.io/page?id=advanced-image-slider-38537&test_plugin=1564735446905x647596372178239500_current&tab=Design&name=before-after&type=page","Place a ""before-after"" element on the page. , Connect an image gallery (a field from the database containing images) , or if you want to use separate single, then check the “Or use Single Images” checkbox and include at least the “Before image_1” and “After image_1” fields , Using the settings in the ""BASIC SETTINGS"" section, define the ""W"", ""H"" and ""Fit"" parameters in order to determine how the slider will behave when the width changes. , If necessary, define other parameters. Under each parameter there is a necessary description.","//s3.amazonaws.com/appforest_uf/f1609257439068x609346034456216700/Before%20After%20LOGO.svg","https://bubble.io/plugin/before-after-slider-1564735446905x647596372178239500","Before-after slider","//s3.amazonaws.com/appforest_uf/f1662474692418x381600289648534000/_657360312before%20after.svg","4","15","Before-After Slider Plugin allows you to visually compare two images with a slider. Customize cursor and line colors, sizes, and enjoy full responsiveness across all devices and browsers.","Before-After Slider Plugin - Compare Two Images with Ease","Compare two images easily with a customizable slider."
"Technical , Media , Containers , Data (things) , Visual Elements , Image","https://plugin-preview.bubbleapps.io/version-test/group_2_image","  The ""Group 2 image"" plugin is designed to simplify the process of converting the contents of Bubble application groups into images. With this plugin, users can easily create PNG or JPEG images from any group in the Bubble app, making them easy to share, print, and archive.

This plugin works by taking the contents of a bubble group and converting it into an image. Users can simply select the bubble group they want and the plugin will generate an image reflecting the contents of that group. You can also exclude some objects (text, buttons, inputs, etc.) from the final image.","https://bubble.io/page?type=page&name=group_2_image&id=plugin-preview&tab=tabs-1","Select on the page the group that you want to convert into an image and assign it an identifier (field ""ID Attribute"") , Place the ""Group2Image"" element on the page , Set up a workflow (for example, by clicking a button) that will launch the “getImage” action. In the ""getImage"" element in the ""Group ID"" field, you must specify the group ID from step 1 , When the image conversion is completed, the ""Conversion is complete"" event will be fired. , Set up a workflow for the ""Conversion is complete"" event where you can get the url of the finished image loaded into your application (the ""img S3 link"" parameter) , More details can be found on the demo page (OPEN IN EDITOR)","//s3.amazonaws.com/appforest_uf/f1609257524598x420274122198848200/plugin%20logo_glue_2-01.svg","https://bubble.io/plugin/group-2-image-1570718668361x814620532276461600","Group 2 Image","//s3.amazonaws.com/appforest_uf/f1662474676503x137081918462648830/_781611704group2%20image.svg","5","25","Group 2 Image Plugin simplifies converting Bubble application groups into PNG or JPEG images. Easily create shareable, printable, and archivable images from any group, with options to exclude specific elements.","Group 2 Image Plugin - Convert Bubble Groups to PNG/JPEG Images","Convert Bubble groups into shareable PNG/JPEG images easily."
